Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Supplier,Item_Type,Item_MRP,Sale_Date,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDC26,10.195,low fat,0.126897925,Floatchug,Canned,110.6886,19/04/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1223.0746
FDF34,9.3,regular,0.014076503,Lyerut,Snack Foods,200.0084,28/02/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,2182.4924
FDJ33,8.895,regular,0.088305478,Booelf,Snack Foods,123.473,16/11/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1478.076
FDD04,16,low fat,0.090153756,Reeksmisc,Dairy,143.2154,24/06/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,1418.154
NCJ31,19.2,low fat,0.182501773,Syriameal,Others,239.2196,30/04/2018,OUT013,1987,High,Tier 3,Supermarket Type1,5061.4116
FDO57,20.75,low fat,0.108710162,Eyecub,Snack Foods,161.7578,28/10/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2888.2404
FDM36,12.27710821,regular,0.058446424,Rantsknox,Baking Goods,172.1422,21/03/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,5518.1504
NCY05,13.5,low fat,0.054990009,Sanvim,Health and Hygiene,35.2874,30/05/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,741.0354
FDS44,13.22476938,regular,0.15528831,Shycrc,Fruits and Vegetables,241.7538,06/02/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,9133.4444
FDZ39,19.7,regular,0.018021361,Airare,Meat,101.199,27/07/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1857.582
NCM31,6.095,low fat,0.0816559,Arisemews,Others,143.3154,16/05/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2836.308
DRK11,8.21,low fat,0.010755465,Fewcad,Hard Drinks,150.8392,19/07/2017,OUT013,1987,High,Tier 3,Supermarket Type1,2982.784
FDO34,17.7,low fat,0.050111641,Laxnod,Snack Foods,165.9816,03/02/2017,OUT010,1998,Small,Tier 3,Grocery Store,167.7816
NCL30,18.1,low fat,0.048931174,Borestabs,Household,127.3336,12/08/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5024
FDK28,5.695,low fat,0.065960909,Arisemews,Frozen Foods,259.2646,12/11/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,9275.9256
DRJ39,20.25,low fat,0.036319195,Sanvim,Dairy,219.3482,27/11/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,5038.1086
NCP06,13.3847365,low fat,0.039055756,Midnam,Household,152.3366,04/12/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,2115.9124
FDE33,13.22476938,regular,0.049395242,Humorvane,Fruits and Vegetables,80.3644,17/06/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,1885.5456
FDZ44,8.185,low fat,0.038789271,Yamned,Fruits and Vegetables,115.6808,03/04/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,703.0848
FDV46,18.2,low fat,0.012659235,Floatchug,Snack Foods,140.718,03/06/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,2656.542
NCO06,19.25,low fat,0.108010006,Cspkit,Household,33.3558,24/02/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,713.0718
DRG03,14.5,low fat,0.061934991,Girthbrin,Dairy,154.4998,08/01/2017,OUT013,1987,High,Tier 3,Supermarket Type1,1691.7978
FDU37,9.5,regular,0.104421237,Skidssops,Canned,80.196,18/06/2018,OUT013,1987,High,Tier 3,Supermarket Type1,2157.192
FDI57,19.85,low fat,0.053980686,Lexlee,Seafood,196.8768,27/08/2018,OUT013,1987,High,Tier 3,Supermarket Type1,2561.9984
FDM45,8.655,regular,0.088121336,Lexlee,Snack Foods,119.7756,30/01/2017,OUT013,1987,High,Tier 3,Supermarket Type1,2059.9852
FDC26,10.195,low fat,0.126359196,Randymeri,Canned,109.2886,17/02/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1334.2632
FDU14,13.4260689,low fat,0.034584356,Soyvan,Dairy,248.375,04/04/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,10236.675
FDB26,14,regular,0.031267496,Reeksmisc,Canned,51.464,15/12/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,692.432
FDC29,8.39,regular,0.024304264,Borestabs,Frozen Foods,114.0176,13/12/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1488.7288
FDY58,11.65,low fat,0.040144377,Ifsgun,Snack Foods,228.9694,13/04/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,6622.7126
FDR59,14.5,regular,0.063851475,Leepad,Breads,260.4594,31/07/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,3139.9128
FDS03,12.81734421,low fat,0.079243005,Floatchug,Meat,65.8826,04/03/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,1614.565
FDR43,18.2,low fat,0.161355122,Fewcad,Fruits and Vegetables,38.319,07/04/2017,OUT013,1987,High,Tier 3,Supermarket Type1,585.904
FDZ25,12.30570501,regular,0.02748331,Girthbrin,Canned,169.379,19/12/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,5602.707
NCN26,10.85,low fat,0.028738058,Lexlee,Household,117.1808,03/02/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,703.0848
FDO38,17.25,low fat,0.073135768,Shycrc,Canned,77.2986,06/02/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.6818
FDP28,13.65,regular,0.081096613,Netpit,Frozen Foods,261.2936,02/08/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,3131.9232
FDG31,12.15,low fat,0.063430788,Fewcad,Meat,65.4826,13/04/2017,OUT010,1998,Small,Tier 3,Grocery Store,258.3304
FDI45,13.1,low fat,0.037549969,Berryhypo,Fruits and Vegetables,176.1054,05/01/2018,OUT013,1987,High,Tier 3,Supermarket Type1,4027.4242
NCS54,13.6,low fat,0.016726506,Wpmtov,Household,176.037,18/09/2017,OUT010,1998,Small,Tier 3,Grocery Store,352.874
FDE17,20.1,regular,0.054565932,Soyvan,Frozen Foods,152.2366,12/08/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,2418.1856
NCG06,16.35,low fat,0.029445361,Volfig,Household,257.6646,12/10/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2061.3168
FDQ57,12.98787955,low fat,0.048932713,Booelf,Snack Foods,144.476,15/04/2017,OUT019,1985,Small,Tier 1,Grocery Store,146.476
NCB31,6.235,low fat,0.118651919,Coynow,Household,263.991,03/07/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,4207.856
NCP29,8.42,low fat,0.112728355,Cspkit,Health and Hygiene,65.8168,21/01/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,830.9184
NCX29,13.14231395,low fat,0.156094569,Scalebend,Health and Hygiene,144.3102,30/04/2018,OUT019,1985,Small,Tier 1,Grocery Store,145.8102
FDU37,9.5,regular,0.104933928,Wpmtov,Canned,78.796,26/07/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1198.44
FDM02,12.5,regular,0.12341737,Losesimps,Canned,86.0198,18/05/2017,OUT010,1998,Small,Tier 3,Grocery Store,87.2198
FDN16,12.6,regular,0.062700289,Cantouniv,Frozen Foods,102.199,18/03/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.781
FDR46,16.85,low fat,0.139417654,Hadjiprom,Snack Foods,147.476,07/06/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2929.52
FDE50,12.30570501,regular,0.01612717,Micronard,Canned,189.3556,22/07/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,2253.0672
FDL52,6.635,regular,0.077145553,Netpit,Frozen Foods,39.8506,06/11/2018,OUT010,1998,Small,Tier 3,Grocery Store,75.9012
FDQ49,20.2,regular,0.039215075,Scalebend,Breakfast,157.663,06/01/2018,OUT013,1987,High,Tier 3,Supermarket Type1,2190.482
FDI14,14.1,low fat,0.089859642,Scalebend,Canned,140.2496,28/01/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1693.7952
FDS16,15.15,regular,0.066121873,Netpit,Frozen Foods,145.676,29/10/2018,OUT013,1987,High,Tier 3,Supermarket Type1,3661.9
FDU15,13.65,regular,0.026643448,Coynow,Meat,37.9532,12/09/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,862.8768
NCG43,13.3847365,low fat,0.073879939,Dampswiny,Household,94.0462,14/04/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,1850.924
FDR23,11.34693627,low fat,0.08139146,Shycrc,Breads,177.837,05/07/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,6351.732
FDS52,12.86706128,low fat,0.005448005,Betuhs,Frozen Foods,102.1016,27/12/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,3542.056
NCP18,12.15,low fat,0.028714747,Losesimps,Household,151.9708,27/01/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,3611.2992
DRF23,11.40032787,low fat,0.122058364,Skidssops,Hard Drinks,172.8396,18/02/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,7152.0236
FDO09,13.5,regular,0.125528734,Cantouniv,Snack Foods,262.191,15/01/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,6048.793
FDB40,17.5,regular,0.007555176,Yamned,Dairy,145.9102,06/10/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2187.153
DRK37,11.84745989,low fat,0.077046505,Ileumshun,Soft Drinks,189.453,13/09/2017,OUT019,1985,Small,Tier 1,Grocery Store,759.012
DRN11,7.85,low fat,0.162980276,Syriameal,Hard Drinks,145.2444,24/01/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,1451.444
FDE22,9.695,low fat,0.029632784,Cspkit,Snack Foods,159.692,19/06/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,958.752
FDF04,17.5,low fat,0.013634468,Borestabs,Frozen Foods,256.4304,26/12/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1808.3128
FDE41,9.195,regular,0.064376263,Funvex,Frozen Foods,83.1566,20/01/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,1099.2358
FDW08,13.22476938,low fat,0.147663025,Soyvan,Fruits and Vegetables,106.028,08/12/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,1810.976
NCD54,21.1,low fat,0.029003459,Airare,Household,143.4786,15/12/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,2311.6576
FDZ33,10.195,low fat,0.107834541,Leepad,Snack Foods,146.5076,20/01/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1330.2684
FDO23,17.85,low fat,0.146399663,Yamned,Breads,93.8436,16/12/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1418.154
FDN34,15.6,regular,0.04575559,Muralcell,Snack Foods,167.1132,19/08/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244
FDL39,16.1,regular,0.063278652,Scalebend,Dairy,182.1318,30/12/2017,OUT013,1987,High,Tier 3,Supermarket Type1,2345.6134
FDT28,13.3,low fat,0.063664998,Aportzeds,Frozen Foods,151.6708,18/09/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,3912.2408
FDH33,12.85,low fat,0.122221269,Bigshy,Snack Foods,45.9428,27/11/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1274.3412
FDA34,11.5,low fat,0.014944614,Lexlee,Starchy Foods,171.808,06/12/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,5712.564
FDZ56,16.25,low fat,0.025732114,Losesimps,Fruits and Vegetables,166.4474,15/04/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,5390.3168
DRH23,14.65,low fat,0.171281641,Dampswiny,Hard Drinks,54.0614,02/12/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1160.4894
NCO18,13.15,low fat,0.024646608,Shycrc,Household,177.4686,13/05/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,5510.8266
DRG27,8.895,low fat,0.072427198,Netpit,Dairy,42.0138,12/09/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,568.5932
FDM28,15.7,low fat,0.075661985,Leepad,Frozen Foods,181.366,15/03/2017,OUT010,1998,Small,Tier 3,Grocery Store,179.766
NCY41,16.75,low fat,0.126765903,Piperfide,Health and Hygiene,35.7532,05/09/2018,OUT010,1998,Small,Tier 3,Grocery Store,143.8128
FDD21,10.3,regular,0.030563449,Betuhs,Fruits and Vegetables,114.4176,29/03/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,2633.9048
FDD44,8.05,regular,0.078522357,Girthbrin,Fruits and Vegetables,257.1646,17/01/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,6183.9504
FDP16,18.6,low fat,0.039294854,Berryhypo,Frozen Foods,246.6802,27/10/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2702.4822
FDQ37,20.75,low fat,0.089260667,Bigshy,Breakfast,193.4478,23/06/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,4843.695
NCY05,13.5,low fat,0.05510153,Ileumshun,Health and Hygiene,37.0874,21/12/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,952.7598
NCE07,8.18,low fat,0.013127548,Reeksmisc,Household,142.0154,30/10/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1985.4156
DRI51,17.25,low fat,0.042233642,Dreamcoma,Dairy,173.3764,11/03/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,2061.3168
NCI31,20,low fat,0.081492092,Shycrc,Others,35.519,29/05/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1025.332
FDK60,16.5,regular,0.0691693,Volfig,Baking Goods,96.2068,30/01/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,3013.4108
FDY12,9.8,regular,0.14061104,Netpit,Baking Goods,49.8008,28/05/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,809.6128
FDO38,17.25,low fat,0.072952298,Soughscop,Canned,76.0986,14/06/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,623.1888
FDP11,15.85,low fat,0.069087481,Volfig,Breads,218.7166,13/12/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1088.583
FDC21,13.22476938,regular,0.075215349,Wpmtov,Fruits and Vegetables,108.4254,13/03/2017,OUT019,1985,Small,Tier 1,Grocery Store,217.0508
NCF54,18,low fat,0.047645037,Randymeri,Household,172.6422,19/05/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,2931.5174
FDC35,13.69073077,low fat,0.122242847,Dampswiny,Starchy Foods,207.5638,25/03/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,4555.4036
FDV43,16,low fat,0.076975118,Arisemews,Fruits and Vegetables,46.2086,25/03/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,490.6946
DRE12,4.59,low fat,0.070890602,Lindymali,Soft Drinks,111.686,03/12/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,1584.604
DRE27,11.85,low fat,0.132560174,Booelf,Dairy,97.2726,10/03/2017,OUT013,1987,High,Tier 3,Supermarket Type1,782.9808
DRC36,11.84745989,regular,0.044767032,Chaoszulu,Soft Drinks,173.7054,25/11/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,5778.4782
FDZ38,13.4260689,low fat,0.007962273,Quaext,Dairy,174.0422,04/04/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,5173.266
NCW42,18.2,low fat,0.058799705,Wpmtov,Household,220.7456,05/01/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,4420.912
NCZ18,7.825,low fat,0.186445212,Soughscop,Household,255.5698,15/05/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1522.0188
FDL13,12.76820225,regular,0.098606543,Floatchug,Breakfast,232.73,30/09/2017,OUT019,1985,Small,Tier 1,Grocery Store,932.12
NCN18,8.895,low fat,0.125222705,Fitimp,Household,113.3544,07/01/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.6896
FDI41,18.5,regular,0.062609071,Midnam,Frozen Foods,148.6418,23/01/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1765.7016
FDV22,14.85,regular,0.009930514,Chaoszulu,Snack Foods,157.463,20/05/2018,OUT013,1987,High,Tier 3,Supermarket Type1,2503.408
NCB43,13.3847365,low fat,0.099428487,Aportzeds,Household,187.8898,23/04/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,7296.5022
FDQ46,7.51,low fat,0.103793399,Aportzeds,Snack Foods,110.1544,11/01/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056
FDC44,15.6,low fat,0.068512943,Soughscop,Fruits and Vegetables,111.9518,09/12/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,2163.1842
FDB22,8.02,low fat,0.111419588,Betuhs,Snack Foods,154.3998,17/10/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,3383.5956
FDV23,11,low fat,0.106051405,Funvex,Breads,124.4046,11/05/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,2241.0828
FDK10,12.98787955,regular,0.04016342,Skidssops,Snack Foods,181.166,16/10/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.554
FDF05,17.5,low fat,0.026925385,Soyvan,Frozen Foods,264.391,06/10/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,5259.82
FDL33,7.235,low fat,0.099962524,Dreamcoma,Snack Foods,193.8452,20/04/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,1957.452
FDD20,13.22476938,low fat,0.020614212,Scalebend,Fruits and Vegetables,126.4046,15/08/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,5353.6978
NCM54,13.3847365,low fat,0.050692386,Cantouniv,Household,125.6678,01/06/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,4832.3764
FDW48,18,low fat,0.008589133,Hadjiprom,Baking Goods,81.0618,02/11/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1450.1124
DRF36,16.1,low fat,0.023673342,Soyvan,Soft Drinks,189.0846,16/04/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,5350.3688
NCM06,7.475,low fat,0.075881475,Borestabs,Household,155.2656,24/12/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2934.8464
NCA54,16.5,low fat,0.061330521,Arisemews,Household,178.7318,23/11/2018,OUT010,1998,Small,Tier 3,Grocery Store,360.8636
FDT46,11.35,low fat,0.030869612,Syriameal,Snack Foods,49.8008,30/04/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,708.4112
FDH20,16.1,regular,0.024944396,Humorvane,Fruits and Vegetables,95.441,13/02/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,2220.443
FDT38,18.7,low fat,0.057654132,Egopin,Dairy,83.1566,03/01/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,1606.5754
NCI17,8.645,low fat,0.143713508,Reeksmisc,Health and Hygiene,96.641,28/03/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,868.869
FDO40,17.1,low fat,0.032812669,Skidssops,Frozen Foods,147.1392,27/03/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,2237.088
FDP12,9.8,regular,0.045266806,Egopin,Baking Goods,36.9874,19/12/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,705.748
FDI44,13.22476938,low fat,0.099747488,Netpit,Fruits and Vegetables,75.2328,03/02/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,1544.656
FDB21,13.22476938,low fat,0.068512943,Fitimp,Fruits and Vegetables,242.9854,16/03/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,6767.1912
FDG16,15.25,low fat,0.089742065,Humorvane,Frozen Foods,213.7192,22/11/2018,OUT013,1987,High,Tier 3,Supermarket Type1,1078.596
NCZ42,10.5,low fat,0.011351778,Eyecub,Household,236.5248,07/02/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,4029.4216
NCJ30,5.82,low fat,0.081096613,Aportzeds,Household,170.379,14/11/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1018.674
FDV49,10,low fat,0.025827199,Aportzeds,Canned,263.2226,06/09/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,3700.5164
NCO43,5.5,low fat,0.060241032,Laxnod,Others,103.1016,01/03/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2024.032
NCF18,18.35,low fat,0.148938624,Syriameal,Household,191.9504,09/11/2018,OUT010,1998,Small,Tier 3,Grocery Store,767.0016
NCX41,19,low fat,0.05521598,Volfig,Health and Hygiene,211.0244,15/05/2017,OUT010,1998,Small,Tier 3,Grocery Store,1482.0708
FDY11,6.71,regular,0.029535852,Betuhs,Baking Goods,67.5142,07/07/2018,OUT013,1987,High,Tier 3,Supermarket Type1,593.2278
FDU46,10.3,regular,0.011143599,Ileumshun,Snack Foods,88.254,17/07/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,1125.202
NCI18,18.35,low fat,0.014045832,Forksjohn,Household,222.7746,01/02/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,1570.6222
FDL38,13.8,regular,0.014730322,Soughscop,Canned,90.9172,03/04/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,2141.2128
FDY60,10.5,regular,0.026520107,Dampswiny,Baking Goods,144.8128,30/03/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2157.192
FDF53,20.75,regular,0.083736551,Rantsknox,Frozen Foods,178.7318,13/03/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,3428.2042
NCM05,13.14231395,low fat,0.059557164,Humorvane,Health and Hygiene,263.7226,07/09/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,6872.3876
FDR13,9.895,regular,0.028837829,Fitimp,Canned,117.8492,03/10/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1506.0396
FDA49,12.30570501,low fat,0.113669629,Lovdom,Canned,89.0198,05/12/2017,OUT019,1985,Small,Tier 1,Grocery Store,174.4396
FDY52,12.86706128,low fat,0.012865901,Coynow,Frozen Foods,59.3536,08/09/2017,OUT019,1985,Small,Tier 1,Grocery Store,122.5072
FDL02,12.30570501,regular,0.182236555,Laxnod,Canned,107.1622,26/04/2017,OUT019,1985,Small,Tier 1,Grocery Store,211.7244
FDO24,11.1,low fat,0.176069023,Sanvim,Baking Goods,156.7604,26/05/2018,OUT013,1987,High,Tier 3,Supermarket Type1,1901.5248
FDM08,10.1,regular,0.053574075,Loresgunk,Fruits and Vegetables,223.7088,01/07/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056
FDJ02,12.30570501,regular,0.044063785,Dampswiny,Canned,147.2418,06/12/2017,OUT019,1985,Small,Tier 1,Grocery Store,294.2836
FDW40,14,regular,0.105573769,Ifsgun,Frozen Foods,143.9812,13/02/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.8496
FDT46,12.98787955,low fat,0.030657949,Airare,Snack Foods,50.5008,23/02/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,1012.016
FDY08,9.395,regular,0.172042892,Netpit,Fruits and Vegetables,139.9838,04/02/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1966.7732
FDM21,12.98787955,low fat,0.064052392,Scalebend,Snack Foods,256.1646,01/08/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,7472.2734
FDH26,12.30570501,regular,0.034531702,Booelf,Canned,142.2496,25/09/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,2399.5432
NCM42,6.13,low fat,0.028365524,Bigshy,Household,110.0912,28/04/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,1637.868
FDW13,8.5,low fat,0.097866209,Midnam,Canned,51.1324,03/08/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1350.2424
FDN04,12.86706128,regular,0.01401884,Rantsknox,Frozen Foods,178.1344,20/02/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,3747.1224
NCD07,9.1,low fat,0.061322313,Floatchug,Household,114.4518,27/05/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.9252
FDB34,15.25,low fat,0.044539371,Funvex,Snack Foods,85.3198,15/10/2017,OUT010,1998,Small,Tier 3,Grocery Store,261.6594
FDD09,13.5,low fat,0.068512943,Quaext,Fruits and Vegetables,179.9976,16/01/2018,OUT013,1987,High,Tier 3,Supermarket Type1,4889.6352
DRH59,10.8,low fat,0.064942556,Humorvane,Hard Drinks,72.338,18/12/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618
DRN36,15.2,low fat,0.050168354,Ifsgun,Soft Drinks,95.3752,29/10/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1438.128
DRA24,19.35,regular,0.040154087,Lyerut,Soft Drinks,164.6868,26/11/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1146.5076
FDY36,12.27710821,low fat,0.009364957,Shycrc,Baking Goods,74.238,01/10/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.808
FDG34,11.5,regular,0.037539164,Lindymali,Snack Foods,106.9254,28/12/2018,OUT013,1987,High,Tier 3,Supermarket Type1,3038.7112
FDK43,9.8,low fat,0.026992588,Ileumshun,Meat,127.302,19/04/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2277.036
NCM06,7.475,low fat,0.076156245,Lovdom,Household,156.4656,08/10/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,2008.0528
FDK22,9.8,low fat,0.026192765,Quaext,Snack Foods,215.685,22/10/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,649.155
FDF21,13.22476938,regular,0.058542509,Airare,Fruits and Vegetables,188.353,06/06/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,4364.319
FDO33,14.75,low fat,0.089686322,Volfig,Snack Foods,115.3518,04/01/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1821.6288
NCO43,5.5,low fat,0.047364617,Quaext,Others,100.0016,04/03/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,708.4112
FDX15,17.2,low fat,0.156269303,Ifsgun,Meat,159.6578,02/11/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,3048.6982
FDS10,19.2,low fat,0.035185588,Muralcell,Snack Foods,181.3318,28/03/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1443.4544
FDD46,12.98787955,low fat,0.247321039,Syriameal,Snack Foods,152.3998,01/05/2018,OUT019,1985,Small,Tier 1,Grocery Store,153.7998
FDV22,14.85,regular,0.009979271,Loresgunk,Snack Foods,155.763,12/12/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,3129.26
NCR29,7.565,low fat,0.054863459,Berryhypo,Health and Hygiene,58.393,18/09/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,509.337
FDU34,18.25,low fat,0.075620262,Airare,Snack Foods,123.8046,15/04/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,3486.1288
FDZ35,9.6,regular,0.02236923,Bigshy,Breads,104.799,23/07/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1341.587
FDA26,7.855,regular,0.073906461,Forksjohn,Dairy,218.4482,25/09/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,4819.0604
FDP38,10.1,low fat,0.032283676,Fewcad,Canned,52.2008,03/08/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,759.012
FDT22,10.395,low fat,0.11207602,Fewcad,Snack Foods,58.022,19/02/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,659.142
FDA50,16.25,low fat,0.087668236,Sanvim,Dairy,94.941,26/06/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,1737.738
